Epoch: [ 0/32] [   0/  15] time: 14.8236, d_loss: 3.00594163, g_loss: 12.35860252
Epoch: [ 0/32] [   1/  15] time: 19.7530, d_loss: 0.27355975, g_loss: 6.23098755
Epoch: [ 0/32] [   2/  15] time: 24.7863, d_loss: 0.29344738, g_loss: 2.28112030
Epoch: [ 0/32] [   3/  15] time: 29.1325, d_loss: 0.70286965, g_loss: 6.97475100
Epoch: [ 0/32] [   4/  15] time: 33.0454, d_loss: 0.41193858, g_loss: 7.76166296
Epoch: [ 0/32] [   5/  15] time: 36.8803, d_loss: 0.04457470, g_loss: 8.80821037
Epoch: [ 0/32] [   6/  15] time: 40.6421, d_loss: 0.17531608, g_loss: 5.51077938
Epoch: [ 0/32] [   7/  15] time: 44.6137, d_loss: 0.28473350, g_loss: 3.99705076
Epoch: [ 0/32] [   8/  15] time: 48.5003, d_loss: 0.07157076, g_loss: 5.34434748
Epoch: [ 0/32] [   9/  15] time: 53.0512, d_loss: 0.11067263, g_loss: 3.56329727
Epoch: [ 0/32] [  10/  15] time: 58.0032, d_loss: 0.08823199, g_loss: 5.77560663
Epoch: [ 0/32] [  11/  15] time: 61.7944, d_loss: 0.05880206, g_loss: 7.51006889
Epoch: [ 0/32] [  12/  15] time: 65.8876, d_loss: 0.00865314, g_loss: 7.90223551
Epoch: [ 0/32] [  13/  15] time: 71.0881, d_loss: 0.11271773, g_loss: 5.92681980
Epoch: [ 0/32] [  14/  15] time: 75.2111, d_loss: 7.55589724, g_loss: 0.00745858
Epoch: [ 1/32] [   0/  15] time: 78.8691, d_loss: 0.38781914, g_loss: 6.65550518
Epoch: [ 1/32] [   1/  15] time: 83.5551, d_loss: 0.38835877, g_loss: 9.68595505
Epoch: [ 1/32] [   2/  15] time: 88.3533, d_loss: 0.19260356, g_loss: 7.36482620
Epoch: [ 1/32] [   3/  15] time: 92.3919, d_loss: 0.37907383, g_loss: 5.54850721
Epoch: [ 0/10] [   0/   2] time: 8.6029, d_loss: 99.28186798, g_loss: 0.00000000
Epoch: [ 0/10] [   1/   2] time: 16.1082, d_loss: 253.79197693, g_loss: 0.00000000
Epoch: [ 1/10] [   0/   2] time: 23.6691, d_loss: 520.51251221, g_loss: 0.00000000
Epoch: [ 1/10] [   1/   2] time: 31.1328, d_loss: 845.55865479, g_loss: 0.00000000
Epoch: [ 2/10] [   0/   2] time: 38.6759, d_loss: 538.10095215, g_loss: 0.00000000
Epoch: [ 2/10] [   1/   2] time: 46.2451, d_loss: 112.29808044, g_loss: 0.00000000
Epoch: [ 3/10] [   0/   2] time: 53.7552, d_loss: 199.74572754, g_loss: 0.00000000
Epoch: [ 3/10] [   1/   2] time: 61.2009, d_loss: 684.65270996, g_loss: 0.00000000
Epoch: [ 4/10] [   0/   2] time: 68.5990, d_loss: 196.27879333, g_loss: 0.00000000
Epoch: [ 4/10] [   1/   2] time: 75.8446, d_loss: 538.24676514, g_loss: 0.00000000
Epoch: [ 5/10] [   0/   2] time: 83.1601, d_loss: 342.66537476, g_loss: 0.00000000
Epoch: [ 5/10] [   1/   2] time: 90.2847, d_loss: 5.20428467, g_loss: 0.00556452
Epoch: [ 6/10] [   0/   2] time: 97.4703, d_loss: 42.88355637, g_loss: 0.00000000
Epoch: [ 6/10] [   1/   2] time: 104.5325, d_loss: 570.83441162, g_loss: 0.00000000
Epoch: [ 7/10] [   0/   2] time: 111.5925, d_loss: 181.66046143, g_loss: 0.00000000
Epoch: [ 7/10] [   1/   2] time: 118.6535, d_loss: 261.81646729, g_loss: 0.00000000
Epoch: [ 0/ 7] [   0/   2] time: 8.5834, d_loss: 327.21789551, g_loss: 0.00000000
Epoch: [ 0/ 7] [   1/   2] time: 16.0752, d_loss: 182.12409973, g_loss: 0.00000000
Epoch: [ 1/ 7] [   0/   2] time: 23.6039, d_loss: 650.10668945, g_loss: 0.00000000
Epoch: [ 1/ 7] [   1/   2] time: 31.0846, d_loss: 661.47924805, g_loss: 0.00000000
Epoch: [ 2/ 7] [   0/   2] time: 38.5519, d_loss: 484.24282837, g_loss: 0.00000000
Epoch: [ 0/ 6] [   0/   2] time: 8.2048, d_loss: 460.41909790, g_loss: 0.00000000
Epoch: [ 0/ 6] [   1/   2] time: 15.6472, d_loss: 644.23071289, g_loss: 0.00000000
Epoch: [ 0/ 7] [   0/   2] time: 8.2730, d_loss: 422.90942383, g_loss: 0.00000000
Epoch: [ 0/ 7] [   1/   2] time: 15.4206, d_loss: 37.75055313, g_loss: 0.00000000
Epoch: [ 1/ 7] [   0/   2] time: 22.5839, d_loss: 526.83734131, g_loss: 0.00000000
